광고그룹명	지역키워드	위치사진명	url분류명	url
			수학	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%88%98%ED%95%99/%EC%88%98%EC%A7%80
			영어	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%98%81%EC%96%B4/%EC%88%98%EC%A7%80
			국어	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B5%AD%EC%96%B4/%EC%88%98%EC%A7%80
			과학	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B3%BC%ED%95%99/%EC%88%98%EC%A7%80
			일반	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%9D%BC%EB%B0%98/%EC%88%98%EC%A7%80
이곡점	이곡동	대구 달서구 이곡동	고등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B3%A0%EB%93%B1/%EC%9D%B4%EA%B3%A1%EB%8F%99
			중등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%A4%91%EB%93%B1/%EC%9D%B4%EA%B3%A1%EB%8F%99
			초등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%B4%88%EB%93%B1/%EC%9D%B4%EA%B3%A1%EB%8F%99
			수학	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%88%98%ED%95%99/%EC%9D%B4%EA%B3%A1%EB%8F%99
			영어	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%98%81%EC%96%B4/%EC%9D%B4%EA%B3%A1%EB%8F%99
			국어	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B5%AD%EC%96%B4/%EC%9D%B4%EA%B3%A1%EB%8F%99
			과학	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B3%BC%ED%95%99/%EC%9D%B4%EA%B3%A1%EB%8F%99
			일반	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%9D%BC%EB%B0%98/%EC%9D%B4%EA%B3%A1%EB%8F%99
이곡점	이곡	대구 달서구 이곡동	고등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B3%A0%EB%93%B1/%EC%9D%B4%EA%B3%A1
			중등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%A4%91%EB%93%B1/%EC%9D%B4%EA%B3%A1
			초등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%B4%88%EB%93%B1/%EC%9D%B4%EA%B3%A1
			수학	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%88%98%ED%95%99/%EC%9D%B4%EA%B3%A1
			영어	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%98%81%EC%96%B4/%EC%9D%B4%EA%B3%A1
			국어	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B5%AD%EC%96%B4/%EC%9D%B4%EA%B3%A1
			과학	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B3%BC%ED%95%99/%EC%9D%B4%EA%B3%A1
			일반	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%9D%BC%EB%B0%98/%EC%9D%B4%EA%B3%A1
탄현점	탄현	일산 탄현점	고등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B3%A0%EB%93%B1/%ED%83%84%ED%98%84
			중등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%A4%91%EB%93%B1/%ED%83%84%ED%98%84
			초등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%B4%88%EB%93%B1/%ED%83%84%ED%98%84
			수학	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%88%98%ED%95%99/%ED%83%84%ED%98%84
			영어	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%98%81%EC%96%B4/%ED%83%84%ED%98%84
			국어	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B5%AD%EC%96%B4/%ED%83%84%ED%98%84
			과학	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B3%BC%ED%95%99/%ED%83%84%ED%98%84
			일반	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%9D%BC%EB%B0%98/%ED%83%84%ED%98%84
탄현점	탄현동	일산 탄현점	고등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B3%A0%EB%93%B1/%ED%83%84%ED%98%84%EB%8F%99
			중등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%A4%91%EB%93%B1/%ED%83%84%ED%98%84%EB%8F%99
			초등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%B4%88%EB%93%B1/%ED%83%84%ED%98%84%EB%8F%99
			수학	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%88%98%ED%95%99/%ED%83%84%ED%98%84%EB%8F%99
			영어	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%98%81%EC%96%B4/%ED%83%84%ED%98%84%EB%8F%99
			국어	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B5%AD%EC%96%B4/%ED%83%84%ED%98%84%EB%8F%99
			과학	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B3%BC%ED%95%99/%ED%83%84%ED%98%84%EB%8F%99
